Date,Sender,Message
2025-02-24T20:01:23+00:00,-1001626824086,"—❗️🇺🇸/🇷🇺 NEW: The United States voted against the UN Resolution condemning Russia's invasion of Ukraine

Even some of Russia's biggest allies, such as Iran and China, did not vote against the resolution, rather they abstained. 

@Middle_East_Spectator"
2025-02-24T08:09:27+00:00,-1001626824086,"— 🇺🇸/🇱🇧 NEW: In conjunction with yesterday's funeral, a candlelight vigil for Sayyed Hassan Nasrallah and Sayyed Hashem Safiyeddine was held in Washington Square Park, New York.

@Middle_East_Spectator"
2025-02-24T07:57:14+00:00,-1001626824086,"— 🇵🇸/🇱🇧 NEW: Members of the Palestinian Islamic Jihad and its military wing Saraya Al-Quds participated in Sayyed Hassan Nasrallah's funeral yesterday. 

@Middle_East_Spectator"
2025-02-24T07:37:51+00:00,-1001626824086,"— 🇵🇸/🇮🇱 WATCH: Al-Qassam Brigades have released footage of the delivery of Israeli prisoners Tal Shoham & Avera Mengitsu. 

@Middle_East_Spectator"
2025-02-23T23:57:50+00:00,-1001626824086,"— 🇮🇷/🇵🇸 NEW: Dozens of Iranian aid trucks began entering Jabalia camp in Gaza, after the Egyptian side is finally allowing their entry

@Middle_East_Spectator"
2025-02-23T23:04:45+00:00,-1001626824086,"— 🇱🇧 Abu Ali, the personal bodyguard of Sayyed Hassan Nasrallah for more than 40 years, accompanied him for the last time.

@Middle_East_Spectator"
2025-02-23T22:55:07+00:00,-1001626824086,"— 🇱🇧 NEW: At least 1.4 Million people attended Sayyed Hassan Nasrallah's funeral in Beirut, Lebanon – Al Mayadeen

Symbolic commemorations were also held in Iran, Iraq, Syria, Pakistan, India, Bahrain, Palestine, and Tunisia.

@Middle_East_Spectator"
2025-02-23T18:19:18+00:00,-1001626824086,"🇵🇸🇵🇸🇱🇧🇱🇧 Hamas: 

""In the Name of Allah, the Most Gracious, the Most Merciful. 

On this day of great farewell to the two martyr leaders, Sayyed Hassan Nasrallah and Sayyed Hashem Safieddine, we pray for their pure souls and remember their unwavering stances in support of Palestine and their great martyrdom on the path to Al-Quds.

As we bid farewell to these two great martyrs, the Secretary-Generals of Hezbollah, Sayyed Hassan Nasrallah and Sayyed Hashem Safieddine, we in the Islamic Resistance Movement (Hamas) renew our deepest condolences to the brotherly Lebanese people, and to our Arab and Islamic nations, asking Allah, the Almighty, to grant patience and solace to their families, their comrades in the leadership of the Islamic resistance, and to the resistance supporters everywhere.

On this solemn day, we recall the heroic and honorable stances of martyr Sayyed Hassan Nasrallah, his firm and principled commitment to the Palestinian cause, and his determination to form a united front with our people in Gaza against the brutal zionist aggression and genocide war. He defied the occupation’s fascist threats, and as he always wished, he attained martyrdom in defense of his nation’s dignity and on the path to liberating Al-Quds.

We affirm that the zionist occupation’s crimes and cowardly assassinations of resistance leaders in Palestine, Lebanon, and beyond will never stop our struggle. Instead, they will only strengthen our resolve to continue on the path of our martyred leaders, until we eradicate this abhorrent occupation that threatens the entire region, reclaim our land and sanctities, and purify them from the filth of the zionist usurpers.""

Islamic Resistance Movement – Hamas
Sunday, 24 Sha’ban 1446 AH
February 23, 2025"
2025-02-23T16:20:16+00:00,-1001626824086,"— 🇱🇧🇱🇧 WATCH: Close footage of the coffins of Sayyed Hassan Nasrallah and Sayyed Hashem Safiyeddine, sent by a subscriber. 

@Middle_East_Spectator"
2025-02-23T15:33:20+00:00,-1001626824086,"— ❗️🇮🇱/🇸🇾 NEW: Israeli Prime Minister Benjamin Netanyahu says that they demand the complete disarmament of Quneitra, Daraa, and Suwayda in the southern areas of Syria, and that their forces will remain in the Golan Heights and the extended 'buffer zone' for an 'indefinite period'

He also states that they will not allow Hay'at Tahrir al-Sham (HTS) forces enter the areas south of Damascus.

@Middle_East_Spectator"
2025-02-23T15:24:04+00:00,-1001626824086,"— 🇱🇧🇱🇧 Additional photographs from the funeral, courtesy of Iran's Student News Network

@Middle_East_Spectator"
2025-02-23T13:56:52+00:00,-1001626824086,"— 🇮🇷 NEW: In the 'Zulfiqar' exercise, the Iranian military carried out an amphibious landing drill, landing 'Karrar' MBTs on the enemy shore

@Middle_East_Spectator"
2025-02-23T12:47:24+00:00,-1001626824086,"— 🇱🇧 Hezbollah Secretary General Sheikh Naim Qassem: 'Die and seethe! The resistance remains and continues.'

@Middle_East_Spectator"
