Date,Sender,Message
2025-02-24T09:04:12+00:00,@C_Military1,"حزب الله يتقبل التعازي والتبريكات باستشهاد سيد شهداء الأمة السيد حسن نصرالله والسيد الهاشمي الشهيد السيد هاشم صفي الدين يومي الثلاثاء والاربعاء في 25 و 26 من شهر الجاري قبل الظهر من الساعة 9:30 الى 11:30 وبعد الظهر من الساعة 3:00 الى 5:30 في باحة عاشوراء بالضاحية الجنوبية.

#الإعلام_الحربي"
2025-02-24T08:03:11+00:00,@C_Military1,"#إعلام_العدو 

صحيفة يديعوت أحرونوت العبرية - يوسي يهوشع: الاقتراب من نهاية المرحلة الأولى من اتفاق وقف إطلاق النار في غزة يضعه في ممر ضيق وقصير وحاسم، سيتم فيه تحديد ما إذا كانت هناك مرحلة ثانية أم أن القتال سيُستأنف. لكن الخيار الثاني لا يعتمد فقط على الصفقة. مساء أمس، أعلن الجيش الإسرائيلي عن رفع حالة التأهب في بيان مقتضب، جاء فيه أنه ""استمرارًا لتقييم الوضع، تقرر تعزيز الجاهزية العسكرية والاستعداد العملياتي في منطقة غلاف غزة"". في ظل القيود الرقابية، يمكن الافتراض أن صدور بيان استثنائي كهذا يشير إلى تصاعد التوتر في المنطقة، وخاصة إلى أن حركة حماس لم تفقد قدراتها بالكامل.

#الإعلام_الحربي"
2025-02-23T18:26:48+00:00,@C_Military1,"#إعلام_العدو 

صحيفة ""يديعوت أحرونوت"" العبرية: سكان الشمال غاضبون بسبب رفع كافة القيود الأمنية في المستوطنات الحدودية مع لبنان للمرة الأولى منذ اندلاع الحرب  وسيسمح ذلك بعودة السكان والأنشطة والتجمعات. لكن في الشمال ما زالوا خائفين من حزب الله.

#الإعلام_الحربي"
2025-02-23T18:23:57+00:00,@C_Military1,"#إعلام_العدو 

صحيفة ""يديعوت أحرونوت"" العبرية: أُقيمت اليوم في بيروت مراسم تشييع ضخمة للأمين العام لحزب الله (السيد الشهيد) حسن نصر الله. تجمع مئات الآلاف من أنصار حزب الله في ملعب ضخم في العاصمة اللبنانية ومحيطه. وفي محاولة لإحباط هذا التشييع، حلّقت طائرات تابعة لسلاح الجو الإسرائيلي فوق مكان الحدث، لكن المتواجدين هتفوا: الموت لإسرائيل، الموت لأمريكا، لبيك يا نصر الله.

#الإعلام_الحربي"
2025-02-23T12:27:57+00:00,@C_Military1,"#لبنان 

أبرز ما جاء في كلمة الأمين العام لحزب الله سماحة الشيخ نعيم قاسم خلال مراسم تشييع السيدين الأمينين الشهيدين حسن نصرالله وهاشم صفي الدين:

- سنواجه مشروع ترامب التهجيري مع كل قوى التحرير في المنطقة.
- سنشارك في بناء الدولة القوية العادلة وسنساهم في نهضتها تحت سقف اتفاق الطائف.
- متمسكون بطرد الاحتلال وإعادة الإعمار وحريصون على الوحدة الوطنية والسلم الأهلي.
- وطن نهائي لجميع أبنائه ونحن من أبنائه ولا تفكروا أن تلعبوا بيننا وبين حركة أمل لأننا واحد في الموقف.
- ندعم دور الجيش اللبناني ونحن إلى جانبه.

#إنّا_على_العهد
#الإعلام_الحربي"
2025-02-23T12:22:19+00:00,@C_Military1,"#لبنان 

أبرز ما جاء في كلمة الأمين العام لحزب الله سماحة الشيخ نعيم قاسم خلال مراسم تشييع السيدين الأمينين الشهيدين حسن نصرالله وهاشم صفي الدين:


-  المقاومة إيمان وحق وهي حياة الشعوب الحرة للتحرير لا يستطيع أحد أن يسلبنا هذا الحق.
- موتوا بغيظكم المقاومة باقية ومستمرة وموجودة ولن نقبل أن تتحكم أميركا الطاغية ببلدنا.
- نحن أبناء ""هيهات منا الزلة""... استيقظوا يا دعاة السيادة وأسمِعونا ولو كلمة ضد ""إسرائيل"" أو أميركا.
- المقاومة أساس وهي خيارنا الإيماني والسياسي ما زال الاحتلال موجوداً وسنتابع تحرك الدولة لطرد الاحتلال.

#إنّا_على_العهد
#الإعلام_الحربي"
2025-02-23T12:15:13+00:00,@C_Military1,"#لبنان 

أبرز ما جاء في كلمة الأمين العام لحزب الله سماحة الشيخ نعيم قاسم خلال مراسم تشييع السيدين الأمينين الشهيدين حسن نصرالله وهاشم صفي الدين:

- أنتم شعب لا يهزم وسنكون معاً ونبايع معاً... إنا على العهد يا نصر الله.
- وافقنا على طلب العدو وقف إطلاق النار لأن لا مصلحة لنا باستمرار القتال من دون أفق سياسي ولا ميداني.
- نقطة قوة بالنسبة إلينا أننا وافقنا من منطلقاتنا على طلب العدو وقف إطلاق النار.
- التزمنا بالاتفاق ولم تلتزم ""إسرائيل"" وهنا تبدأ مسؤولية الدولة اللبنانية بعد انتهاء مهلة الاتفاق لانسحاب العدو.
- المقاومة موجودة وقوية عدداً وعدة والنصر الحتمي آتٍ وعلى ""إسرائيل"" أن تنسحب من المناطق التي لا تزال تحتلها.

 #إنّا_على_العهد
#الإعلام_الحربي"
2025-02-23T12:11:16+00:00,@C_Military1,"#لبنان 

أبرز ما جاء في كلمة الأمين العام لحزب الله سماحة الشيخ نعيم قاسم خلال مراسم تشييع السيدين الأمينين الشهيدين حسن نصرالله وهاشم صفي الدين:

- كلّ التعزية والتبريك لعوائل السيدين الجليلين وشهداء المقاومة وللمنتمين والمحبين.
- نحيي الأسرى ونقول لهم لن نترككم عند الصهانية.
- الحشد اليوم لم يوجد مثله في تاريخ لبنان... أنتم الشعب الوفي والمعطاء.
- واجهنا الكيان الإسرائيلي ومن ورائه الطاغوت الأكبر أميركا التي واجهت غزة وفلسطين ولبنان والعراق وإيران.
- حجم الضغط كان غير مسبوق على المقاومة ومجاهديها وبيئتها ولكن حجم الصمود في المقابل كان غير مسبوق أيضاً.

 #إنّا_على_العهد
#الإعلام_الحربي"
2025-02-23T12:07:03+00:00,@C_Military1,"#لبنان 

أبرز ما جاء في كلمة الأمين العام لحزب الله سماحة الشيخ نعيم قاسم خلال مراسم تشييع السيدين الأمينين الشهيدين حسن نصرالله وهاشم صفي الدين:

- طريق المقاومة سنكمله جميعا ولو دمرت بيوتنا على رؤوسنا وقتلنا جميعاً.
- مساهمة السيد نصر الله كانت عظيمة في إحياء القضية الفلسطينية ونحن سنحفظ الأمانة وسنسير على هذا الخط.
- طريق السيد نصر الله سنكمله ولو دمرت بيوتنا على رؤوسنا وقتلنا جميعاً.
- إنا على العهد يا نصر الله وسنكمل الطريق ولو قتلنا جميعاً.

 #إنّا_على_العهد
#الإعلام_الحربي"
2025-02-23T12:01:58+00:00,@C_Military1,"#لبنان 

أبرز ما جاء في كلمة الأمين العام لحزب الله سماحة الشيخ نعيم قاسم خلال مراسم تشييع السيدين الأمينين الشهيدين حسن نصرالله وهاشم صفي الدين:

- السلام عليكم أيها الوفود من كل أنحاء العالم وكل المجتمعين في هذه المناسبة لتشييع الشهيدين السيدين نصرالله وصفي الدين.
- نودع اليوم قائدا استثنائيا عربيا إسلاميا يمثل قبلة الأحرار في العالم.
- السيد نصر الله قاد المقاومة إلى الأمة وقاد الأمة إلى المقاومة وبات كلاهما معه قلباً واحداً.
- السيد نصر الله أحب الناس وأحبه الناس وهو قائد العقول والقلوب ووجهته دائماً كانت فلسطين والقدس.
-
 #إنّا_على_العهد
#الإعلام_الحربي"
