Date,Sender,Message
2024-11-24T21:01:20+00:00,-1001960633093,"🔻مشاهد من اطلاق المقاومة الاسلامية في العراق لطيران مسير باتجاه هدف حيوي في جنوب الاراضي المحتلة 

 بتاريخ ٢٤ - ١١ - ٢٠٢٤"
2024-11-24T20:48:05+00:00,-1001960633093,"🔻مشاهد من اطلاق المقاومة الاسلامية في العراق لطيران مسير باتجاه هدف عسكري في جنوب الاراضي المحتلة 

بتاريخ ٢٤ / ١١ / ٢٠٢٤"
2024-11-24T20:13:34+00:00,-1001960633093,"2. 

🔻بيان صادر عن المقاومة الاسلامية في العراق : 

بسمِ اللهِ الرحمنِ الرحيم
(أُذِنَ لِلَّذِينَ يُقَاتَلُونَ بِأَنَّهُمْ ظُلِمُوا وَإِنَّ اللَّهَ عَلَىٰ نَصْرِهِمْ لَقَدِيرٌ)
صدق الله العليّ العظيم

استمراراً بنهجنا في مقاومة الاحتلال، ونُصرةً لأهلنا في فلسطين ولبنان، وردّاً على المجازر التي يرتكبها الكيان الغاصب بحقّ المدنيين من أطفال ونساء وشيوخ، هاجم مجاهدو المقاومة الإسلامية في العراق مساء اليوم الأحد 24 - 11 - 2024، هدفاً حيوياً في جنوب الاراضي المحتلة، بواسطة الطيران المسيّر، وتؤكد المقاومة الإسلامية، استمرار عملياتها في دكّ معاقل الأعداء بوتيرة متصاعدة.

(وَمَا النَّصْرُ إِلَّا مِنْ عِندِ اللَّهِ إِنَّ اللَّهَ عَزِيزٌ حَكِيمٌ)

المقاومة الإسلامية في العراق
الأحد ٢١ - جمادى الاول - ١٤٤٦ هـ"
2024-11-24T20:08:32+00:00,-1001960633093,"1. 

🔻بيان صادر عن المقاومة الاسلامية في العراق : 

بسمِ اللهِ الرحمنِ الرحيم
(أُذِنَ لِلَّذِينَ يُقَاتَلُونَ بِأَنَّهُمْ ظُلِمُوا وَإِنَّ اللَّهَ عَلَىٰ نَصْرِهِمْ لَقَدِيرٌ)
صدق الله العليّ العظيم

استمراراً بنهجنا في مقاومة الاحتلال، ونُصرةً لأهلنا في فلسطين ولبنان، وردّاً على المجازر التي يرتكبها الكيان الغاصب بحقّ المدنيين من أطفال ونساء وشيوخ، هاجم مجاهدو المقاومة الإسلامية في العراق مساء اليوم الأحد 24 - 11 - 2024، هدفاً عسكرياً في جنوب الاراضي المحتلة، بواسطة الطيران المسيّر، وتؤكد المقاومة الإسلامية، استمرار عملياتها في دكّ معاقل الأعداء بوتيرة متصاعدة.

(وَمَا النَّصْرُ إِلَّا مِنْ عِندِ اللَّهِ إِنَّ اللَّهَ عَزِيزٌ حَكِيمٌ)

المقاومة الإسلامية في العراق
الأحد ٢١ - جمادى الاول - ١٤٤٦ هـ"
2024-11-21T21:42:24+00:00,-1001960633093,"🔻مشاهد من اطلاق المقاومة الاسلامية في العراق لطيران مسير باتجاه هدف عسكري في جنوب الاراضي المحتلة. 

بتاريخ ٢١-١١-٢٠٢٤"
2024-11-21T20:35:25+00:00,-1001960633093,"1. 

🔻بيان صادر عن المقاومة الاسلامية في العراق : 

بسمِ اللهِ الرحمنِ الرحيم
(أُذِنَ لِلَّذِينَ يُقَاتَلُونَ بِأَنَّهُمْ ظُلِمُوا وَإِنَّ اللَّهَ عَلَىٰ نَصْرِهِمْ لَقَدِيرٌ)
صدق الله العليّ العظيم

استمراراً بنهجنا في مقاومة الاحتلال، ونُصرةً لأهلنا في فلسطين ولبنان، وردّاً على المجازر التي يرتكبها الكيان الغاصب بحقّ المدنيين من أطفال ونساء وشيوخ، هاجم مجاهدو المقاومة الإسلامية في العراق مساء اليوم الخميس 21-11-2024 ، هدفاً عسكرياً في جنوب الاراضي المحتلة، بواسطة الطيران المسيّر، وتؤكد المقاومة الإسلامية، استمرار عملياتها في دكّ معاقل الأعداء بوتيرة متصاعدة.


(وَمَا النَّصْرُ إِلَّا مِنْ عِندِ اللَّهِ إِنَّ اللَّهَ عَزِيزٌ حَكِيمٌ)

المقاومة الإسلامية في العراق
الخميس ١٨ - جمادى الاول - ١٤٤٦ هـ"
2024-11-20T23:11:08+00:00,-1001960633093,"🔻مشاهد من اطلاق المقاومة الاسلامية في العراق لطيران مسير باتجاه هدف عسكري في جنوب الاراضي المحتلة. 

بتاريخ ٢٠-١١-٢٠٢٤"
2024-11-20T20:54:01+00:00,-1001960633093,"2. 
🔻بيان صادر عن المقاومة الاسلامية في العراق : 

بسمِ اللهِ الرحمنِ الرحيم
(أُذِنَ لِلَّذِينَ يُقَاتَلُونَ بِأَنَّهُمْ ظُلِمُوا وَإِنَّ اللَّهَ عَلَىٰ نَصْرِهِمْ لَقَدِيرٌ)
صدق الله العليّ العظيم

استمراراً بنهجنا في مقاومة الاحتلال، ونُصرةً لأهلنا في فلسطين ولبنان، وردّاً على المجازر التي يرتكبها الكيان الغاصب بحقّ المدنيين من أطفال ونساء وشيوخ، هاجم مجاهدو المقاومة الإسلامية في العراق مساء اليوم الاربعاء 20-11-2024 ، هدفاً عسكرياً في جنوب الاراضي المحتلة، بواسطة الطيران المسيّر، وتؤكد المقاومة الإسلامية، استمرار عملياتها في دكّ معاقل الأعداء بوتيرة متصاعدة.


(وَمَا النَّصْرُ إِلَّا مِنْ عِندِ اللَّهِ إِنَّ اللَّهَ عَزِيزٌ حَكِيمٌ)

المقاومة الإسلامية في العراق
الاربعاء ١٧ - جمادى الاول - ١٤٤٦ هـ"
2024-11-20T14:53:36+00:00,-1001960633093,"🔻مشاهد من اطلاق المقاومة الاسلامية في العراق لطيران مسير باتجاه هدف عسكري في شمال الاراضي المحتلة. 

بتاريخ ١٩-١١-٢٠٢٤"
2024-11-20T13:17:26+00:00,-1001960633093,"1. 
🔻بيان صادر عن المقاومة الاسلامية في العراق : 

بسمِ اللهِ الرحمنِ الرحيم
(أُذِنَ لِلَّذِينَ يُقَاتَلُونَ بِأَنَّهُمْ ظُلِمُوا وَإِنَّ اللَّهَ عَلَىٰ نَصْرِهِمْ لَقَدِيرٌ)
صدق الله العليّ العظيم

استمراراً  بنهجنا في مقاومة الإحتلال ، ونُصرةً لأهلنا في غزّة وردّاً على المجازر التي يرتكبها الكيان الغاصب بحقّ المدنيين الفلسطينيين من أطفال ونساء وشيوخ ، هاجم مجاهدو المقاومة الإسلاميـة فـي العـراق مساء يوم الثلاثاء 19 - 11 - 2024 ، بواسطة الطيران المسيّر ، هدفـاً عسكرياً في شمال الأراضي المحتلة . وتؤكد المقاومة الإسلامية، استمرار عملياتها في دكّ معاقل الأعداء بوتيرة متصاعدة.


(وَمَا النَّصْرُ إِلَّا مِنْ عِندِ اللَّهِ إِنَّ اللَّهَ عَزِيزٌ حَكِيمٌ)

المقاومة الإسلامية في العراق
الأربعاء ١٧ - جمادى الاول - ١٤٤٦ هـ"
