Date,Sender,Message
2024-11-14T08:57:01+00:00,@hamasps,"⭕ ذاكرة حماس
14/ نوفمبر/2012

يوافق اليوم ذكرى اغتيال قائد أركان المقاومة أحمد الجعبري، بقصف طائرات الاحتلال لسيارته، ما أدى إلى استشهاده ومرافقه محمد الهمص.

الموقع الرسمي لحركة حماس
https://t.me/+sklEwcJvC2tjNGVk"
2024-10-18T17:39:51+00:00,@hamasps,"⭕ حركة أنصار الله اليمنية: ننعي الشهيد يحيى السنوار، قائد المقاومة الفلسطينية ورئيس المكتب السياسي لحركة حماس. في هذا المصاب الجلل، نعزي الشعب الفلسطيني وفصائل المقاومة، مؤكدين أن استشهاد القادة يُلهم المقاومة بمزيد من العزم والثبات. نؤكد على دعمنا لحق المقاومة في صفقة عادلة للأسرى، وندين الشراكة الأمريكية مع الكيان الصهيوني في حرب الإبادة ضد الشعب الفلسطيني. ونؤكد أن اليمن سيواصل التصعيد العسكري حتى يتوقف العدوان على فلسطين.

الموقع الرسمي - حركة حماس
‏https://t.me/+sklEwcJvC2tjNGVk"
2024-10-18T17:39:51+00:00,@hamasps,"⭕ الجبهة الديمقراطية: ننعى الشهيد يحيى السنوار، رئيس المكتب السياسي لحركة حماس، الذي قاتل ببسالة حتى اللحظة الأخيرة دفاعًا عن أرض فلسطين وكرامة شعبه. لقد رفض الاستسلام أو المساومة، وظل رمزًا للصمود والمقاومة. استشهاده سيظل حافزًا للشعب الفلسطيني لمواصلة النضال والكفاح. نؤكد التزامنا برسالته الثابتة في مواجهة الاحتلال حتى تحرير كل شبر من أرض فلسطين، مؤمنين بأن دماءه ستشعل مزيدًا من الصمود والتحدي في وجه الاحتلال والمستوطنين.

الموقع الرسمي - حركة حماس
https://t.me/+sklEwcJvC2tjNGVk"
2024-10-18T17:39:51+00:00,@hamasps,"بسم الله الرحمن الرحيم

تصريح صحفي

قطع الاحتلال الاتصالات والإنترنت عن محافظة شمال غزَّة جريمة تستهدف عزل شعبنا وتهجيره ومنع نقل حقيقة إرهاب جيشه للعالم

إنَّ قطع جيش الاحتلال المجرم للاتصالات والإنترنت عن محافظة شمال غزَّة، مع تصعيد مجازره الوحشية ضدّ المدنيين العزّل في قطاع غزَّة، وخاصة في مخيم جباليا منذ 14 يوماً، هو جريمة صهيونية مُمنهجة تستهدف تهجير شعبنا والانتقام من صموده وثباته على أرضه، ومحاولة لعزله ومنع نقل الصورة الحقيقية إلى العالم عن حرب الإبادة الجماعية والتجويع التي يرتكبها ضدَّ أهلنا في القطاع منذ أكثر من عام كامل.

نحذّر من خطورة وتداعيات منع الأطقم الطبية والدّفاع المدني من الوصول للمصابين، ممّا ينذر بارتفاع أعداد الشهداء، وندعو كلّ الدول والمنظمات الحقوقية والإنسانية إلى تحمّل مسؤولياتها والتحرّك لوقف هذه الجرائم الصهيونية التي ستبقى وصمة عار تلاحق كلّ المتخاذلين والمتقاعسين في وضع حدّ لهذا الإجرام الصهيوني المتواصل ضدَّ شعبنا وأرضنا ومقدساتنا.

حركة المقاومة الإسلامية – حماس

الجمعة: 15 ربيع الآخر 1446 هـ
الموافق: 18 تشرين الأول/ أكتوبر 2024م

الموقع الرسمي - حركة حماس
https://hamasinfo.info/2024/10/18/4264/"
2024-10-18T17:39:51+00:00,@hamasps,"⭕ الرئيس الإيراني مسعود بزشكيان: أنعى الشهيد يحيى السنوار، الذي قضى سنوات طويلة في أسر الكيان الصهيوني، ثم واصل نضاله حتى آخر لحظة من حياته. أؤكد أن استشهاد القادة الأبطال لن يضعف مقاومة الأمة الإسلامية ضد الظلم والاحتلال، كما قال الشهيد إسماعيل هنية: ""إذا غاب سيد قام سيد"". وأتقدم بالتعزية إلى قائد الثورة الإسلامية، والشعب الفلسطيني الصامد، وجميع أحرار العالم، معربًا عن اعتزازي بتضحيات السنوار في سبيل تحرير فلسطين.

 
الموقع الرسمي - حركة حماس 
https://t.me/+sklEwcJvC2tjNGVk"
2024-10-18T17:39:51+00:00,@hamasps,"بعد تلقيهم نبأ نعي المجاهد الكبير الشهيد يحيى السنوار .. الحشود اليمنية المليونية في ميدان السبعين تهتف بغضب جم وإيمان عظيم بالنصر وتقدم عزاء الرجال وتبعث بتهنئة الشهادة للأبطال في فلسطين ولبنان..
مليونية ""مع غزة ولبنان.. صف واحد كالبنيان""

الموقع الرسمي - حركة حماس
https://t.me/+sklEwcJvC2tjNGVk"
2024-10-18T17:39:51+00:00,@hamasps,"⭕ القيادي مرداوي: الشهيد السنوار نموذج فريد في كل مراحل ومحطات النضال الفلسطيني

أكد القيادي في حركة حماس محمود مرداوي، إن القائد الكبير الشهيد يحيى السنوار نموذج فريد في كل مراحل ومحطات النضال الفلسطيني.

وأضاف مرداوي أن دماء القائد السنوار ستكون لعنة في وجه الصهاينة المجرمين و أعوانهم إلي يوم الدين، وضربات موجعة من غزة والضفة وكل ساحات المواجهة، ونحن على ثقة بالله وبشعبنا الصامد بأن المرحلة القادمة ستتوج بالنصر والتحرير.

الموقع الرسمي - حركة حماس
https://hamasinfo.info/2024/10/18/4262/"
2024-10-18T17:39:51+00:00,@hamasps,"⭕ القائد الوطني الكبير الأخ المجاهد الشهيد يحيى السنوار ""أبو إبراهيم"" رئيس المكتب السياسي لحركة حماس وقائد معركة طوفان الأقصى.

الموقع الرسمي - حركة حماس
https://t.me/+sklEwcJvC2tjNGVk"
2024-10-18T17:39:51+00:00,@hamasps,"⭕ حماس: ننعى الشهيد القائد محمود حمدان ""أبو يوسف"" قائد كتيبة تل السلطان في رفح، الذي ارتقى شهيدا مقبلا غير مدبر مشتبكا مع جيش الاحتلال في حي تل السلطان، رفقة قائد الطوفان الشهيد المجاهد القائد يحيى السنوار

الموقع الرسمي - حركة حماس
https://t.me/+sklEwcJvC2tjNGVk"
2024-10-18T17:39:51+00:00,@hamasps,"⭕ حزب الله: نتقدّم من الشعب الفلسطيني المجاهد والمظلوم ومن إخواننا المجاهدين في حركة حماس ومن أمتنا ‏العربية والاسلاميّة ومن كل مجاهد ومقاوم ‏وحر في هذا العالم، بأحر التعازي باستشهاد قائد طوفان الأقصى رئيس ‏المكتب ‏السياسي في حركة حماس الأخ المجاهد يحيى السنوار رحمة الله عليه.

⭕ حزب الله: إن القائد الشهيد يحيى السنوار الذي حمل الأمانة وشعلة القيادة من الشهيد القائد ‏إسماعيل هنية كي يكمل مسيرة ‏المقاومة والعطاء والتضحيات مع المجاهدين ‏الأبطال والمقاومين الشجعان، الذي وقف في مواجهة المشروع الأميركي ‏والاحتلال ‏الصهيوني، وبذل في سبيل ذلك دمه حتى نال الشهادة وأسمى مراتب الكرامة ‏والكمال الإنساني.‏

الموقع الرسمي - حركة حماس
https://t.me/+sklEwcJvC2tjNGVk"
