Date,Sender,Message
2025-02-24T20:25:59+00:00,@Hezbollah_com,"✅ ️حزب الله  منتشر کرد | معكم على العهد بالإنتصار والشهادة

#إنا_على_العهد

✅ ️ @Hezbollah_com"
2025-02-24T19:14:13+00:00,@Hezbollah_com,"✅ وصیت شهدا چراغ راه ماست

✅ متن وصیت‌نامۀ شهید سیدحسن نصرالله:
‏برای خیر دنیا و آخرت‌تان به شما وصیت می‌کنم که ایمان‌تان به رهبری حضرت امام خامنه‌ای قوی و محکم 
باشد.

✅ کانال مقاومت اسلامی حزب الله 
✅ ️ @Hezbollah_com"
2025-02-24T08:09:56+00:00,@Hezbollah_com,"✅ ️ تودهنی مهرداد فرهمند به اینترنشنال؛ جمعیت بی‌سابقه و تشییع نصرالله تاریخی بود

کارشناس اینترنشنال در واکنش به ادعای مجری این شبکه مبنی بر اینکه جمعیت تشییع‌کنندگان رهبران مقاومت «ده‌ها هزار نفر» بود، تأکید کرد: «جمعیت بسیار بزرگی حضور داشت و در تاریخ لبنان هیچ‌گاه چنین تشییع جنازه‌ای به این عظمت برگزار نشده است.»

وی افزود: «حسن نصرالله شخصیتی کاریزماتیک بود و در میان تمام ادیان و مذاهب محبوبیت داشت، حتی در میان مسیحیانی که مخالف او و طرفدار اسرائیل بودند.»

✅ ️ @Hezbollah_com"
2025-02-24T07:34:09+00:00,@Hezbollah_com,"☑️محل خاکسپاری شهید سیدهاشم صفی‌الدین

مقدمات تشییع پیکر شهید هاشم صفی الدین در زادگاهش دیر قانون منطقه صور در جنوب لبنان انجام شده است.

#إنا_على_العهد

 ☑️ @Hezbollah_com"
2025-02-23T12:47:38+00:00,@Hezbollah_com,"✅ ️ شیخ نعیم قاسم: مقاومت زنده است و کسی نمی‌تواند ایمانِ آن را از بین ببرد

✅ ما ایمان داریم که مقاومت حق و زندگیِ ملت‌هاست؛ مقاومت با خون نوشته می‌شود و نیازمندِ ایثارگری است.

✅ ما قبول نمی‌کنیم که آمریکا بر لبنان حکومت کند. آمریکا می‌خواهد از مسیر سیاسی آنچه اسرائیل در جنگ به‌دست نیاورده را به‌دست آورد؛ آمریکایی‌ها بدانید که نمی‌توانید از این راه برای اسرائیل دستاورد کسب کنید.

✅ ️ @Hezbollah_com"
2025-02-23T12:42:08+00:00,@Hezbollah_com,"✅ ️شیخ نعیم قاسم: ما با جنبش امل هم‌پیمان هستیم/ این پیمان با خون ما امضا شده است

دبیرکل حزب الله لبنان در مراسم تشییع پیکر شهیدان سیدحسن نصرالله و سیدهاشم صفی‌الدین:

دشمن فکر نکند ما با جنبش امل اختلاف داریم، ما همه یک پیکر هستیم.

ما به نقش ارتش در دفاع از حاکمیت کشور ایمان داریم.

#إنا_علی_العهد

✅ ️ @Hezbollah_com"
2025-02-23T12:27:48+00:00,@Hezbollah_com,"✅ ️شیخ نعیم قاسم: لبنان نخواهد پذیرفت که آمریکای جنایتکار بر این کشور حکومت کند

دبیرکل حزب الله لبنان در مراسم تشییع پیکر شهیدان سیدحسن نصرالله و سیدهاشم صفی‌الدین:

آمریکا و اسرائیل قصد دارند در امور داخلی لبنان دخالت کنند ولی نخواهند نتوانست.

ای آمریکایی ها که بر مقامات لبنانی فشار وارد می کنید بدانید به اهداف خود دست نخواهید یافت.

#إنا_علی_العهد

✅ ️ @Hezbollah_com"
2025-02-23T12:27:26+00:00,@Hezbollah_com,"✅ ️شیخ نعیم قاسم: ما به هیچ عنوان استمرار اشغالگری را نمی‌پذیریم

دبیرکل حزب الله لبنان در مراسم تشییع پیکر شهیدان سیدحسن نصرالله و سیدهاشم صفی‌الدین:

✅ به هیچ عنوان نیروهای خودمان را تقدیم و تسلیم نخواهیم کرد

#إنا_علی_العهد

✅ ️ @Hezbollah_com"
2025-02-23T12:23:56+00:00,@Hezbollah_com,"☑️ نعیم قاسم: به اسرا می‌گویم که هرگز شما را نزد صهیونیست‌ها رها نمی‌کنیم

🔹ای حضارِ بزرگ! شهید نصرالله در قلب و عقل شماست و میلیون‌ها نفر از سراسر جهان دوست داشتند در بین شما باشند؛ این مراسم در تاریخ لبنان بی‌نظیر است.

 ☑️ @Hezbollah_com"
2025-02-23T08:50:47+00:00,@Hezbollah_com,"✅ ️ رزمایش وحدت

تصاویر دیگری از حضور با شکوه و دشمن شکن علمای اهل سنت و شیعه لبنان در مراسم تشییع سیدالشهدای مقاومت 

#إنا_علی_العهد

✅ ️ @Hezbollah_com"
2025-02-23T08:48:23+00:00,@Hezbollah_com,"🔥 حضور رزمندگان کتائب حزب الله عراق در مراسم تشییع سیدالشهدای مقاومت سیدحسن نصرالله

#إنا_علی_العهد"
2025-02-23T07:29:12+00:00,@Hezbollah_com,"✅ ️لعن الله اليهود و بارك الله في من سفك دمهم النجس و اثلج بذالك قلب مؤمن

✅ حمله هوایی رژِم صهیونیستی به جنوب لبنان

✅ ️ @Hezbollah_com"
2025-02-23T05:45:07+00:00,@Hezbollah_com,"✅ ️شهید سید حسین نصر الله: لبیک یا حسین یعنی...

#إنا_على_العهد

✅ ️ @Hezbollah_com"
2025-02-22T19:52:21+00:00,@Hezbollah_com,"☑️حمله جنگنده های رژیم صهیونیستی به منطقه بقاع لبنان

 ☑️ @Hezbollah_com"
2025-02-22T19:16:46+00:00,@Hezbollah_com,"✅ تصمیم تاریخی میدری!
محمود مرتضایی فرد که ماه گذشته باحکم وزیر کار،عضو هیات مدیره صندوق بازنشستگی شده در رشته #تاریخ تحصیل کرده!

ایشون در ظاهر عضو هیات مدیره است و به‌گفته مدیران این ابر صندوق نقشی فراتر از مدیرعامل صندوق در اداره و انتصابات صدها شرکت این صندوق بازی میکند.

✅ سید علی باهنر

✅ کانال مقاومت اسلامی حزب الله 
✅ ️ @Hezbollah_com"
2025-02-22T17:20:18+00:00,@Hezbollah_com,"✅ فرزین در تاریخ ماندگار خواهد شد

✅ در تمام کشورهای دنیا، کنترل تورم و حفظ ارزش پول، یک‌ مساله ناموسی برای بانک مرکزی است اما در ایران و در کمال وقاحت، رییس کل بانک مرکزی با پوپولیستی تمام، تلاشش را میکند تا بگوید مردم من به فکر شما هستم، برید طلا بخرید!
✅ به عبارتی صحبت‌های بلاگرهای اقتصادی را از زبان #فرزین -بالاترین مقام پولی کشور- میشنویم!

✅ آخرین یادگار دولت قبل، دارد تابلوی افتخارات را تکمیل می‌کند.

✅ کانال مقاومت اسلامی حزب الله 
✅ ️ @Hezbollah_com"
2025-02-22T17:05:18+00:00,@Hezbollah_com,"✅ ️پیاده روی طرفداران حزب الله و جنبش امل به سمت بیروت به منظور شرکت در مراسم تشییع شهید سید حسن نصرالله

#إنا_على_العهد

✅ ️ @Hezbollah_com"
