Date,Sender,Message
2025-02-24T20:54:51+00:00,-1001694389100,Russian forces have capture the village of Novolyubivka in the Luhansk.
2025-02-24T20:54:34+00:00,-1001694389100,Russian forces have crossed the Oskil near the Russian/Ukraine border and have entered the town of topoli.
2025-02-24T20:54:18+00:00,-1001694389100,Russian forces have made advances near Andriivka.
2025-02-24T20:54:02+00:00,-1001694389100,Small Russian advance towards Kupyansk from the north.
2025-02-24T20:53:43+00:00,-1001694389100,Russian forces have captured the next line of defense behind Velyka Novosilka and have made advances in the direction of Burlatske.
2025-02-24T20:53:21+00:00,-1001694389100,Russian forces have captured the chalk hill and have advanced out of Bilohorivka.
2025-02-24T13:29:23+00:00,-1001694389100,Euro takeover of project Ukraine in action.
2025-02-24T13:28:32+00:00,-1001694389100,"NOW - Top EU bureaucrat Ursula von der Leyen wants to send billions of euros to Ukraine and scale up arms production.

@disclosetv"
2025-02-24T13:24:09+00:00,-1001694389100,"All I’m seeing the U.S. do to appease Russia in the short term is repealing completely pointless resolutions, empty gestures and good faith promises. 

We’ve seen this before and until something concrete happens from the U.S. side I’ll remain pessimistic."
2025-02-24T13:07:19+00:00,-1001694389100,"🇺🇸🇷🇺🇺🇦🇪🇺⚡️US calls for withdrawal of draft anti-Russian resolution authored by EU and Ukraine, which UN General Assembly will vote on on February 24"
2025-02-24T13:05:30+00:00,-1001694389100,Britain to announce a 16th sanctions package against Russia.
2025-02-24T13:04:19+00:00,-1001694389100,The US has proposed a draft resolution to the UN General Assembly that equalizes the actions of Ukraine and the Russian Federation.
2025-02-23T15:05:24+00:00,-1001694389100,"The US removed the word “security” in the latest draft of the minerals deal, refusing to even promise further military support - NYT"
2025-02-23T15:03:57+00:00,-1001694389100,Zelensky says he 'ready' to step down as president in exchange for Ukrainian NATO membership.
2025-02-23T15:03:47+00:00,-1001694389100,Zelensky says he does not want Trump as a mediator.
2025-02-23T12:45:34+00:00,-1001694389100,Ukraine brought an endangered S-300 battery to the Sumy region to help protect Ukrainian forces in the Kursk region. It was quickly spotted by Russian reconnaissance drones and struck by an Iskander.
2025-02-23T00:13:36+00:00,-1001694389100,Russian FPV drones striking Ukrainian vehicles as they cross a ford in the Kharkov region.
2025-02-22T22:08:27+00:00,-1001694389100,"Yet another large-scale Geran-2 drone attack was carried out on Odesa Oblast. As many as 10 direct hits were recorded, with reports of fires at industrial sites, as well as at a transformer substation at a railway hub.

From the industrial sites, civilians reported sounds indicative of secondary detonations, suggesting ammunition was stockpiled in some areas. 

Emergency crews, including fire brigades are at the scenes."
2025-02-22T22:08:11+00:00,-1001694389100,Large Geran-2 drone attack on Kyiv right now. Several loud explosions have been heard in the city. Drones are also flying over other parts of the Oblast.
2025-02-22T12:46:06+00:00,-1001694389100,It looks like Bilohorivka in the Seversk direction has finally fallen to Russian forces.
2025-02-22T02:33:14+00:00,-1001694389100,"— 🇺🇸/🇺🇦 NEW: U.S. negotiators have warned Ukraine that it could lose access to SpaceX's 'Starlink' internet service if it does not allow the U.S. access to its critical minerals.

@Middle_East_Spectator"
2025-02-21T00:14:34+00:00,-1001694389100,Late stream today at 10pm EST (hopefully) might be 10-15 late but that’s the goal.
2025-02-20T23:08:58+00:00,-1001694389100,"So three blasts occurred in empty busses in the middle of the night and the Israeli are claiming they were supposed to go off at rush hour.

No casualties, no side claiming responsibility, unprecedented operation in the West Bank. 

Get fucked"
2025-02-20T18:07:29+00:00,-1001694389100,"Chairman of the Ukrainian parliament Defense Committee:

The United States has stopped selling weapons to Ukraine."
2025-02-20T16:33:10+00:00,-1001694389100,"Russian forces have entered the Sumy Oblast as previously mentioned by Putin.

This advance greatly threatens the Kursk salient.

I will map when more information is available."
2025-02-20T15:38:21+00:00,-1001694389100,The U.S has cancelled the joint press conference of Zelensky and Keith Kellogg.
2025-02-20T14:51:57+00:00,-1001694389100,"Zelensky has blocked Trump's Truth Social network across all of Ukraine.

Pretty sure this was before any public reports of starlink being disabled."
2025-02-20T09:16:58+00:00,-1001694389100,"Just a thought.

Trump is making a grand show of abandoning Ukraine and Europe in a necessary pivot to the Pacific. The U.S. pulls troops out from Europe as they are entirely unnecessary anyway for defense of the continent (1. Russia doesn’t want to invade Europe. 2. Nukes) This shows willingness to work with the Russians towards peace. Russians accept this concession in Europe and now without direct conflict with the U.S., European peace keeping contingents moves into to Ukraine as part of the deal/security guarantees. This secures the pause (ceasefire) the west needs with minimal loss to their geo strategic position. Europe spends the next 2-5 years focused on defense spending and slowly prepares for the next inevitable round.  I know one of the arguments will be “how will Europe do this with struggling economies”. Im sure you can eek 2-5 years out even if things are getting bad. There is also the Iran angle for the U.S. which could also be a topic of discussion at negotiations. If I remember correctly, US defense secretary Pete Hegseth called it “division of labor” when he was recently in Europe.

Alternative possibility is that the western alliance is at a breaking point and the U.S. is retreating from its global hegemony. Focusing instead on a new world order that likely excludes Europe in its current form. I don’t know if believe this is the case but time will tell. 

We’ll see if there is any high level chess being played in the weeks to come but this historically chaotic time is worth witnessing and remembering."
2025-02-20T09:16:46+00:00,-1001694389100,"Ukrainian monitors were lost it sounds like. They seem to have misreported the missile strike last night. 

4 Kalibrs, 10 Kh-101 and 2 Iskander ballistic missile was the final tally."
2025-02-19T23:52:27+00:00,-1001694389100,All Kalibrs disappeared.
2025-02-19T23:52:24+00:00,-1001694389100,"All 4 Kalibrs are flying towards western Kharkiv Oblast, in two groups."
2025-02-19T23:52:15+00:00,-1001694389100,An Iskander-M ballistic missile just struck Kharkiv.
2025-02-19T23:52:07+00:00,-1001694389100,"4 Kalibr cruise missiles over Mykolaiv, northwestern course."
2025-02-19T23:51:25+00:00,-1001694389100,"— 🇪🇺/🇷🇺 NEW: The EU has approved a new sanctions package against Russia, banning aluminum imports and imposing export restrictions on chemicals, chrome, and 'shadow fleet vessels,' along with a ban on servicing oil and gas refineries.

@Middle_East_Spectator"
2025-02-19T07:38:31+00:00,-1001694389100,"— 🇺🇦/🇸🇦 NEW: Ukraine's President Volodymyr Zelensky has cancelled his visit to Saudi Arabia, which had been scheduled for tomorrow.

@Middle_East_Spectator"
2025-02-19T02:16:31+00:00,-1001694389100,"— 🇺🇸/🇷🇺/🇺🇦/🇸🇦 NEW: Saudi Crown Prince Muhammad bin Salman wanted to include Ukrainian officials in the US-Russian talks in Riyadh, but both the Americans and the Russians agreed that Ukraine should not be involved in the negotiations – Bloomberg

@Middle_East_Spectator"
2025-02-18T23:35:45+00:00,-1001694389100,"— 🇺🇸/🇺🇦 U.S. President Donald Trump: 'Ukraine shouldn't have started the war'

@Middle_East_Spectator"
2025-02-18T19:22:20+00:00,-1001694389100,"Ukrainian source on the collapse around Andriivka. 

And to answer his question about why is happened? 

Because those were the orders from the top.

“Unfortunately, not everyone left Ulakli.

There are dead and captured😢

This could have been prevented if the order to leave the bag had been given in time.

But this was not done.

Because General Tarnavsky, as the commander of the Donetsk OTU, needs good reports from above that ""we have everything under control there.""

And in fact, control over the situation was lost 2 weeks ago. And the further it went, the more it escalated.

And here's the question - if the operational situation after the loss of the Andriyivka unit indicated the possibility of encirclement, why did the OTU so stubbornly refuse to evacuate the garrison?

Why did the situation get so bad?”"
2025-02-18T14:45:53+00:00,-1001694389100,Russian forces have advanced in Kostantynopil cutting the only road into the town. The remaining Ukrainian forces are?
2025-02-18T04:41:23+00:00,-1001694389100,Russian forces have captured the village of Ulakly.
2025-02-18T04:40:27+00:00,-1001694389100,Russian forces have advanced along the treelines north of Andriivka.
2025-02-18T04:39:42+00:00,-1001694389100,Russian forces have made a major advance near Velyka Novosilka capturing a large chunk of the next Ukrainian line of defense.
2025-02-18T03:15:37+00:00,-1001694389100,Russia has terminated the agreement with Ukraine on measures to ensure the safety of navigation in the Sea of ​​Azov and the Kerch Strait.
2025-02-18T02:36:12+00:00,-1001694389100,"Ukrainian sources on the general situation in southern Donetsk.

“On the remains of the Kurakhiv sack. There is no good news and there will be none.

Counterattacks in Ulakly failed. The village was practically captured.

Everything that is up to Ulakli from the Dachny side is lost.

In Constantinople, our soldiers are holding the road in the southern part of the village and the approaches to it.

In all other points of the village, enemy infantry, which had already accumulated normally, infiltrated.

One of our brigades and separate units of another were added to the direction, but they were unable to complete the tasks, there are problems with interaction, infantry, and chaos in management at the OTU level.

The commander of the Donetsk OTU, Tarnavsky, received a ""fiery"" greeting from the guys who were first ""forgotten"" in one of the villages, and then were not given the ""go"" to leave.

So why are there no longer these problems in the north of the Donetsk OTU's area of ​​responsibility, but in the south of the same OTU's area, they put a bolt, which caused a catastrophe?

You can't do that to our fighters! To the best fighters, because in that bag were some of the most trained brigades!

In fact, we now have the LBZ equation on the enemy side and a good bridgehead for an attack on both the Filiya-Hrushivske-Yalta triangle and Hulyaipole.

Oh, and the left flank of Pokrovsk is now completely and finally secured by the swamp scum.”"
2025-02-18T02:21:47+00:00,-1001694389100,"Both vehicle and artillery losses have significantly increased from January; at this point in January, there were only 214 losses. Despite the fact that the Ukrainians were on the offensive in January and are now on the defensive. 

This signifies a increase in counter battery effectiveness and/or Ukraine is bringing its more further guns closer to the front as short and medium artillery pieces get scarcer and scarcer and their counterattacks have exhausted them and made them much more vulnerable, forcing them to accumulate artillery to stabilize parts of the front. Russians took advantage of this using the Optic Fiber Drones. 

in summary, the use of Fiber Optic Drones on a variety of targets and across all parts of the frontline has increased and so have losses."
2025-02-18T02:20:33+00:00,-1001694389100,Geran-2 strike in Kiev resulting in a massive fire.
2025-02-17T22:01:15+00:00,-1001694389100,Zero casualties in this crash.
2025-02-17T19:11:27+00:00,-1001694389100,"Time to see if Putin has learned his lessons or if he will be led by the nose again. 

If things aren’t concluded properly the Russian federation will be dealing with these problems again in less than a decade. Putin and Xi must also understand that the focus and pressure isn’t being lifted but rather transferred. 

The U.S. wants a pause and that should give the Russians pause."
2025-02-17T18:57:06+00:00,-1001694389100,Lavrov has arrived in Saudi Arabia.
2025-02-17T17:24:52+00:00,-1001694389100,"— 🇺🇦/🇸🇦 NEW: Ukraine's President Volodymyr Zelensky will travel to Saudi Arabia on Wednesday, although he will not participate in any of the discussions between the U.S. and Russia.

@Middle_East_Spectator"
2025-02-17T17:24:50+00:00,-1001694389100,"— 🇺🇸/🇷🇺/🇸🇦 NEW: U.S. Secretary of State Marco Rubio has arrived in Saudi Arabia where talks on Ukraine between American and Russian delegations are due to begin tomorrow.

@Middle_East_Spectator"
