Date,Sender,Message
2025-02-23T05:31:39+00:00,-1001425996700,"Дорогие друзья!
Уважаемые товарищи!

Сегодня день особенный — День защитника Отечества.

Поздравляю с праздником всех, кто исполняет свой воинский долг в ходе специальной военной операции.
Кто служит в рядах Вооружённых Сил Российской Федерации.
Обеспечивает безопасность нашей страны в специальных службах, полиции. 
Получает военное образование в училищах и институтах, готовясь встать в любой момент на защиту Родины.
А также тех, кто работает в военно-промышленном комплексе. 
Отдельные тёплые слова поздравления семьям наших военнослужащих, ветеранам, участникам боевых действий!

День защитника Отечества объединяет всех, кто любит Россию, связывает с ней своё настоящее и будущее. 
Кто готов в любой момент в случае опасности встать на защиту страны, нашей Родины.

От всей души поздравляю всех вас с праздником!
Желаю счастья, здоровья и победы!

P.S. 
Так сложилось, что раньше 23 февраля поздравляли всех мужчин без исключения.

За прошедшее время многое смогли осознать и переосмыслить.

Испытания и вызовы, которые проходим вместе со страной, показали: есть и те, кто испугался за себя, бросил Россию в трудный момент, трусливо бежал за границу. Ещё хуже, когда оттуда поливает её грязью.

Сегодняшний праздник — не их!

Нам надо об этом говорить открыто и подчёркивать, если мы думаем о будущем страны."
2025-02-21T04:56:35+00:00,-1001425996700,"О качестве подготовки медицинских кадров 

Ежегодно порядка одного миллиона медицинских работников проходят курсы повышения квалификации, а от 70 до 90 тысяч — программы переподготовки.

Такие услуги сегодня предоставляют частные фирмы, многие из них — дистанционно. 

Интернет пестрит объявлениями, что получить дополнительное образование врачам, среднему медперсоналу можно буквально не вставая с дивана, а удостоверение или сертификат доставят на дом.

Чтобы терапевту переквалифицироваться в стоматолога или акушера-гинеколога, достаточно заплатить 20 тысяч рублей фирме — и необходимое свидетельство об образовании готово. 

За прохождение программы повышения квалификации плата составляет меньше — всего 4-5 тысяч рублей.

Безусловно, от такого обучения работников здравоохранения страдают в первую очередь граждане. Снижается качество оказания медицинской помощи. 

Врачам и среднему медперсоналу необходимо постоянно совершенствоваться, осваивать новые методики диагностики и лечения. 

В связи с этим обсуждаем тему повышения качества образования медицинских работников: изменение подходов к составлению учебных программ и ужесточение требований к лицензированию образовательных организаций. 

Получать новую квалификацию или специализацию невозможно онлайн без практических занятий в университетских центрах, колледжах, научных учреждениях, где есть клиническая база.

Поэтому считаем правильным на следующей неделе обсудить вопрос о целесообразности применения электронного и дистанционного обучения при реализации программ медицинского и фармацевтического образования."
2025-02-18T04:57:57+00:00,-1001425996700,"Возвращаясь к теме образования

На прошлой неделе подробно обсудили разрабатываемую Правительством Стратегию развития образования. 
Это был первый этап рассмотрения.

При подготовке к обсуждению поступило от вас почти 8 000 комментариев.
А также свыше 200 предложений от 55 регионов.

По итогам рассмотрения подготовили Правительству ряд предложений, среди которых:

📍 необходимость разработки комплекса мер по формированию сбалансированной учебной и воспитательной нагрузки на учеников;

📍 считаем правильным закрепить ключевую роль учителя в образовательном процессе, определив цифровые и дистанционные форматы исключительно в качестве вспомогательных;

📍 создать благоприятные условия для работы педагога, в том числе за счёт соразмерной документационной и учебной нагрузки. Повысить престиж профессии учителя;

📍 предложили также рассмотреть решения в области оплаты труда педагогических работников;

📍 разработать механизмы защиты педагогов от физического и психологического воздействия, в том числе в интернете;

📍 решить вопрос передачи школ с муниципального уровня на региональный;

📍 сформировать новую систему подготовки кадров исходя из реального запроса рынка, особое внимание уделив обучению инженеров, медицинских и педагогических работников;

📍 расширить возможности для практического обучения, увеличив доли стажировок и проектной деятельности;

📍 определить новый формат начального профессионального образования, обеспечивающего подготовку квалифицированных рабочих кадров;

📍 сделать бесплатным обучение по всем рабочим специальностям;

📍 обеспечить гарантии трудоустройства выпускников по полученной рабочей профессии и специальности;

📍 проводить переподготовку педагогических работников, повышение их квалификации исключительно в государственных и муниципальных организациях.

Для реализации последнего предложения депутатами подготовлен законопроект. 
Планируем рассмотреть его в марте.

От качества образования зависит будущее нашей страны.

А вы как считаете?"
2025-02-16T05:59:20+00:00,-1001425996700,"Истерика в Мюнхене

Сегодня заканчивается трёхдневная Мюнхенская конференция по безопасности. 

Пора подводить итоги.

Выводов можно сделать несколько.

Первое. 
Сегодняшняя европейская политическая элита в большинстве своём, понаделав огромное количество ошибок и приняв вредные решения в первую очередь для своих стран, пытается самосохраниться, цепляясь за власть любыми способами. Выглядит при этом очень жалко и неубедительно.

Второе. 
Коллективные институты Евросоюза в лице их руководителей не понимают, что происходит в мире, показали свою некомпетентность и неадекватность.

Третье. 
Ранее задававшие тон на правах принимающей стороны руководители Германии не смогли внести предложения, которые бы объединили всех. Договорившись до введения чрезвычайного положения для своей страны.

Четвёртое. 
На этом фоне от других отличалось выступление вице-президента США Вэнса, который дал объективную оценку происходящему в европейских странах. 

Но был не поддержан.

Участники конференции оказались не готовы услышать правду о себе.

Все последующие заявления, сделанные главами европейских государств, показали, что Вэнс вызвал у них лишь приступ раздражения и злости. Они не могли скрыть своих негативных эмоций. Но это неудивительно. Они были ярыми сторонниками другого кандидата на выборах в США.

Анализируя происходящее в Мюнхене, можно с уверенностью сказать: 
Европейский союз, его международные институты, в том числе парламентские, ждут серьёзные изменения.

Происходить они будут непросто, болезненно. Можно говорить о конфликтах и кризисных явлениях, которые будут сопровождать этот процесс.

Демократические процедуры во многих странах Евросоюза стали носить декоративный характер. В общеевропейских структурах о них давно забыли и игнорируют. 

Поэтому здоровым силам, которые реализуют запрос общества на обновление власти, будет непросто. Им станут создавать всевозможные препятствия, не давая пройти через процедуру выборов. Как это было в Румынии в ходе президентской кампании. Или во Франции и в Германии, когда побеждали неугодные политические партии.

Но изменения неизбежны."
2025-02-13T09:41:03+00:00,-1001425996700,⚡️ О решении Рособрнадзора в отношении сдачи экзаменов по русскому языку детьми мигрантов
2025-02-12T04:56:31+00:00,-1001425996700,"Личинки Урсулы

Бежавшие в Европу релоканты и иноагенты скоро узнают, какой он на вкус — мучной хрущак.

В Евросоюзе вступил в силу закон, разрешающий использовать в пищевой промышленности порошок из личинок жёлтого мучного червя — хрущака. 

В хлеб, сыр, джем и макаронные изделия теперь можно добавлять перетёртое насекомое. 

В качестве аргументов в пользу такого решения европейские политики говорят, что добавка из червей — альтернативный источник белка.

На самом деле, это последствия санкционной политики Запада в отношении нашей страны, которая обернулась для Европы крахом экономики, закрытием производств и серьёзными проблемами в агропромышленности. 
Сегодня фермеры в Лондоне проводят масштабные протесты в связи с неподъёмными налогами.

Вместо того чтобы помогать местным сельхозпроизводителям, Евросоюз решил заменить их товары личинками и червяками. 
И накормить ими людей. 

Как говорится, ничего личного, просто бизнес. 

Разведение насекомых требует меньших затрат. 
Но никто в Европе не думает о том, что их потребление в пищу может привести к серьёзным болезням, равно как и выращивание в промышленных масштабах. 

В нашей стране личинками, сверчками, жуками и червями кормят только животных и рыб.

Выводы делайте сами."
2025-02-11T10:10:06+00:00,-1001425996700,"⚡️ Закон о защите людей от мошенников, принуждающих брать кредиты, принят

Он был поддержан депутатами единогласно.

Ранее мы с вами обсуждали случаи, когда граждан, особенно пенсионеров, под разными предлогами вынуждают взять в кредит внушительную сумму денег.
Путём обмана и злоупотребления доверием убеждают людей перевести или передать их преступникам. 

Чтобы защитить граждан:

📌 Вводится «период охлаждения» при выдаче кредита, в течение которого не будут осуществляться финансовые операции:
📍4 часа — для сумм от 50 до 200 тысяч рублей;
📍48 часов — для сумм от 200 тысяч рублей.

📌 Возлагается на кредитные и микрофинансовые организации обязанность осуществлять дополнительные проверочные мероприятия на предмет мошенничества при проведении операций и транзакций.

📌 Устанавливается запрет на взыскание с заёмщика выплат по кредитному договору, если кредитором не были проведены установленные проверочные мероприятия, в результате чего возбуждено уголовное дело по факту хищения средств.

Важно защитить людей от действий мошенников и уберечь их от финансовых потерь."
2025-02-10T04:55:21+00:00,-1001425996700,"О роли качества образования в развитии государства 

Вначале повышается качество образования. 
Затем на этой основе развиваются технологии, растёт экономика — страна укрепляет свои позиции.
И наоборот: государство теряет их, когда снижается уровень образования.

Подчеркну, именно сначала повышение качества образования, а только потом развитие технологий и рост экономики.

Планируем вместе с Правительством предметно обсудить вопросы, связанные с разработкой Стратегии развития образования.

Тема важная.
На прошлой неделе наш Президент, проводя заседание Совета по науке и образованию, большое внимание уделил решению проблемных вопросов в этой сфере.

Профильные министерства, рассказывая о ситуации с кадрами в образовании, говорят, что у них всё хорошо. 
Но только учитывают совместителей, а также тех, кто, пройдя переквалификацию, преподаёт несколько несмежных предметов.

Всё это не даёт объективной картины.

Именно об этом сказал Президент в ходе разговора и озвучил данные, приведя в пример нехватку учителей математики (33,2%) и физики (24,1%), дефицит которых ежегодно растёт на протяжении последних восьми лет. 

Ещё одна проблема: количество молодых педагогов составляет всего около 10% от общего числа преподавателей. 

В то же время доля учителей старше 65 лет выше.
Спасибо им и низкий поклон за то, что они продолжают работать. Их просто некем будет заменить в случае, если они решат уйти.

Вопросов в системе образования накопилось. Поэтому нам важно подойти к рассматриваемой теме объективно и самокритично.

Поймём, в чём проблема, — придёт и решение.

Жду ваших предложений по обсуждаемой теме. 
Она непростая."
2025-02-08T05:56:15+00:00,-1001425996700,"Возвращаясь к теме борьбы с мошенниками.

В январе в первом чтении был принят законопроект, направленный на защиту людей от принуждения брать кредиты путём обмана и злоупотребления их доверием.

Законодательной инициативой предусмотрено введение при выдаче заёмных средств «периода охлаждения», в течение которого не будут осуществляться финансовые операции:
📍 4 часа — для сумм от 50 до 200 тысяч рублей;
📍 48 часов — для сумм от 200 тысяч рублей.

В комментариях вы озвучивали предложения. 

Ко второму чтению подготовлен ряд поправок, которые их учитывают:

📌 Если кредитором не были проведены установленные проверочные мероприятия, в результате чего возбуждено уголовное дело по факту хищения средств, то от заёмщика нельзя будет требовать выплат по кредитному договору.

📌 При обращении в кредитную или микрофинансовую организацию заёмщикам необходимо будет предоставлять свой ИНН.
Это нужно для более точной идентификации гражданина, планирующего взять кредит.

Важно защитить людей от мошенников. Поэтому срок вступления в силу ряда положений сокращён вдвое — со 180 до 90 дней. 

Законопроект будет рассмотрен на следующей неделе."
2025-02-06T04:56:23+00:00,-1001425996700,"Dura lex, sed lex
(закон суров, но это закон)

По информации МВД, на территории России проживает около 670 тысяч нелегальных мигрантов.

Теперь иностранные граждане, в отношении которых введён режим высылки, будут вноситься в специальный реестр контролируемых лиц.

Они не смогут:
📍 открывать банковские счета, распоряжаться средствами на них, в том числе переводить деньги; 
📍 приобретать или продавать движимое и недвижимое имущество, регистрировать сделки с ним; 
📍 управлять транспортными средствами и получать водительские права; 
📍 заключать брак; 
📍 изменять место жительства или пребывания в нашей стране без разрешения МВД.

В случае нарушения контролируемым лицом установленных ограничений и запретов будет принято решение о его депортации. Сама процедура высылки упрощена. 

Реестр контролируемых лиц будет размещён на официальном сайте МВД в свободном доступе.

Всего за 2024 год депутатами принято 14 законов, направленных на совершенствование миграционной политики. Работа продолжается.

Со своей стороны готовим законодательные инициативы, связанные с медицинским освидетельствованием иностранных граждан, прибывающих в нашу страну. 

Ждём от Правительства внесения предложений по регулированию трудовой миграции, а также въезду на территорию Российской Федерации семей трудовых мигрантов.

Важно продолжать совершенствовать сферу миграционной политики до полного наведения в ней порядка. 
Это должны осознавать все, кто несёт ответственность за регулирование и контроль миграционных процессов."
