Date,Sender,Message
2025-02-23T19:40:15+00:00,-1001632127793,"Арта у взаємодії з пілотами нічних FPV-дронів щойно розвалили штурм підарів у складі 5 одиниць броні з піхотою на Покровському напрямку в районі Ясенового) 

Хлопці відмічають досить дивним те, що штурм на броні відбувся в такий пізній час доби, доволі рідкісне явище на напрямку.

Касетки відпрацювали прям ваааау😍😍

Офіцер ✙ | Підписатись"
2025-02-23T12:11:08+00:00,-1001632127793,"Підари, так шо по прориву кордону в Сумській області?))
Ви вже напевно по графіку мали Суми пройти, але ж щось пішло нетак, вірно, маленькі мої?)

Офіцер ✙ | Підписатись"
2025-02-22T20:28:29+00:00,-1001632127793,"Оптоволокно soooooon)

Нещодавно побачив новину про фінансування МОУ закупівель FPV-дронів, зокрема на оптоволокні. Це все реально круто, але є великі сумніви, що до війська потрапить дійсно якісний продукт.

Як я вже писав, процедура кодифікації МОУ дронів і взагалі будь-чого дуже сильно хромає, адже, на жаль, багато що в нашій країні дуже легко продається((

Справа в тому, що виготовлення оптоволоконних дронів - це доволі кропіткий процес і там важливі навіть найменші деталі і їх якість має бути на належному рівні. Останній місяць мої хлопці відвідали багато виставок, в тому числі і дронів на оптоволокні, прикол в тому, що половина, якщо не більше, представників різних компаній не можуть навіть розповісти ні суть процесу виробництва дронів, ні принципу їх дії, ну а, що - котушука є, заодно і дрон впаримо)))

Після такого реально стрьомно навіть думати про те, що може потрапити у військо і на що держава витрачатиме кошти, адже процеси намотки, спаювання оптоволокна, збирання котушок - ювелірна робота, яка потребує великої уваги та точності, відповідального підходу у виробництві; я реально сумніваюсь, що оці «ділки», які будуть битися платити за контракти з МОУ, зможуть це все забезпечити. Найменший брак може зробити котушку повністю непридатну до використання, а ремонтувати в бойових умовах її ніхто не буде, бо навичок і обладнання у більшості немає((

В принципі, при дослідженні ринку опотоволоконних дронів, хочу сказати, що в 70-80% це історія «про гроші», бо наварюються дико і ще й дрони свої впарюють. Особисто моя порада - піти складним шляхом: налагодити власне виробництво котушок та закупкою дронів на 13-ій рамі з їх подальшою переробкою на базі ББС, РУБпАК і тд. Не так це складно, якщо детально вникнути, скоро запускаємо першу таку майстерню на базі однієї бригади, далі буде більше.

Власне виробництво - це більш гнучко і дозволить виготовляти котушки на різну дальність польоту від 10 до 40км, що збільшить номенклатуру дронів ніж ті, які зможе давати держава, адже комерси будуть штампувати виключно одну модель, яка пройде кодифікацію, бо відсутня ідея і бажання реагувати на вимоги сучасного поля бою.

Офіцер ✙ | Підписатись"
2025-02-22T15:39:45+00:00,-1001632127793,"Поки всі обговорюють копалини, у підарів триває дуже важливий марафон по вмиранню на островах на Херсонщині) 

Щодня намагаються дрібними групами закидувати хоча б по 2-3 дохлика, але то все марно, бо закріпитись їм там ніяк. 

Після війни це будуть дуже плодючі ґрунти на островах, так як вони буквально всі в трупах, а знищувати ту погань - окреме мистецтво для пілотів з того напрямку.

Офіцер ✙ | Підписатись"
2025-02-21T12:29:20+00:00,-1001632127793,"По ''прориву'' державного кордону у Сумській області.

Останніми днями не тільки пиня, а і купа кацапських воєнкорів заявляли про неймовірно успішний прорив в Сумській області, що деякі н.п. взяті, а за інші тривають бої. В реальності вже близько місяця не відбувається ніяких проривів на територію Сумської області, так, були десь в січні спроби, але то був не чітко спрямований перетин державного кордону, щоб показово захопити території України, такі дії були спрямовані більше на покращення тактичного положення поблизу Курської операційної зони і не мали на меті просування вглиб території України. 

До того ж противник занадто перебільшив свої вигадані заслуги, адже населені пункти, про бої в яких вони заявляли - доволі далеко навіть для раптового механізованого прориву.

Офіцер ✙ | Підписатись"
2025-02-20T20:39:25+00:00,-1001632127793,"Наша доля не вирішується в кабінетах, вона вирішується зараз на фронті.

Підтримаю повністю слова Командира бригади 🌊«Азов» - Дениса Прокопенка і просто коротко додам від себе: 

За цими перипетіями з Трампом і мирнячком-договорнячком, багато хто зовсім забув про фронт, а деякі взагалі розслабились і думають, що Трамп добазариться, я серйозно, такі навіть у війську є, думають, що скоро дємбєль і не особливо хочуть напрягатись.

Хочу розчарувати, такого не буде, а важка боротьба буде і буде 100%, можливо навіть важча ніж коли-небуть.

Офіцер ✙ | Підписатись"
2025-02-20T10:39:51+00:00,-1001632127793,"При всій повазі до союзних країн Європи, але я б не поставив їх війська на діючу ЛБЗ, якщо буде припинення вогню; адже цілком можливі якісь провокації і наступ рашки під тупі відмазки і не думаю, що союзні війська при таких умовах вистоять і будуть діяти чітко.

Ці військові не будуть захищати нашу країну так, як ми, бо у них не буде до цього ніякого інтересу, навіть фінансового(адже бабки вони захочуть тут лутати лише якщо припиняться війна), дуже ймовірно, що вони просто втечуть при наступі, бо мотивації утримувати території в них немає і по великому рахунку не може бути. Я не впевнений, що не буде ефективності навіть якщо напад на такі підрозділи розцінюватиметься як напад на НАТО з усіма наслідками, бо буде як завжди: десь когось не буде, а отже на солдатів НАТО по факту не нападали або втечуть перед нападом і союзники побояться дати збройну відповідь, а страждати будемо ми. Максимум - поставити на кордон з бульборашкою.

Ми маємо зброю союзників, ми маємо набагато більш досвідчених військових, ніж їхні, тому розміщення контингенту країн НАТО - далеко не панацея. Так, це зайвим не буде, але використовувати це потрібно грамотно і не покладати на це великі надії.

Офіцер ✙ | Підписатись"
2025-02-19T11:07:35+00:00,-1001632127793,"Підари потроху намагаються прориватись в сторону Дніпропетровської області, я б не сказав, що це масштабний наступ, просто намагаються тиснути у тому напрямку, можливо для відволікання, розтягування ресурсів, але очевидно, що це не є їх основним наміром. За минулу добу на ділянці Успенівка - Преображенка хлопці уразили 1 танчік, 3 ББМ та купу лахміття у вигляді автомобілів та мотоциклів.

Офіцер ✙ | Підписатись"
2025-02-18T19:16:34+00:00,-1001632127793,"Підари відверто п…здять, що взяли село Велетенське на правому березі Дніпра на Херсонщині, але останнім часом їм вдається лише активно брати за щоку на островах, бо ті острова - це останнє, що підари бачать перед смертю, валяється їх там дохріна))

Офіцер ✙ | Підписатись"
2025-02-17T15:37:04+00:00,-1001632127793,"Знову про мільйони безпілотників...та молодці, реально, вийшли на серійні об'єми, це реально круто, але треба виправляти питання кодифікації при МОУ, вводити процес стандартизації та офіційне прийняття на озброєння тих самих FPV-дронів, щоб вже потім МОУ могло вимагати від виробників дотримання певних стандартів та вимог до їх продукції, щоб на виході були якісні дрони, які не прийдеться потім перепрошивати чи замінювати неякісні плати ініціації.

Ще раз повторюю, масштабне виробництво - це також важлива складова, але потрібно давно зациклюватись на якості дронів, на відповідність їх сучасним умовам бою, введення нових моделей на понижених частотах, волокні і тд.

Офіцер ✙ | Підписатись"
