Date,Sender,Message
2025-02-24T10:28:33+00:00,-1001290300939,"🇨🇦Премьер Канады в Киеве объявил о выделении нового пакета помощи Украине, в него вошли:

🟢25 БТР LAV ll;
🟢система посадки для F-16;
🟢4 авиа тренажера для F-16;
🟢Миллионы (?) боеприпасов, экипировка и аптечки. (Речь вероятно о стрелковых БП).

Также, Канада передаст первую часть помощи Украине на сумму $3,52 млрд, которая финансируется из доходов замороженных активов рф."
2025-02-24T07:46:08+00:00,-1001290300939,"🇸🇪Швеция закупила системы ПВО на $112 млн. для Украины, – лидер правящей партии Швеции.

Будут переданы 2 позиции:
🟢ПЗРК Robot 70 (1 фото);
🟢ЗСУ Tridon Mk2 - зенитная установка, с авто пушкой Bofors 40 Mk4, темп стрельбы - 300 выстрелов в минуту. Дальность - до 12 км.

Сбивать БПЛА самое то."
2025-02-23T18:01:28+00:00,-1001290300939,"🇩🇪Шольц поздравил Фридриха Мерца с победой на выборах в Германии.

базованый дядька. Полноценно должность должен занять в течении 4-8 недель, вроде как."
2025-02-23T13:42:25+00:00,-1001290300939,"Форум ""Україна.Рік2025"":

🟢85% уничтоженного личного состава и техники всрф - это работа дронов, — Малюк.

🟢160 тысяч тонн боеприпасов было уничтожено в Торопце, в том числе 50% всех 120-мм мин – Малюк.

🟢КНДР принимает активное участие в войне против нас. Обеспечивает 50% потребности боеприпасов для рф, — Буданов."
2025-02-21T14:27:12+00:00,-1001290300939,"🤔 Генерал СБУ ""Хантер"" поделился кадрами пулеметных морских БЭКов с радиусом действия 1700км.

""Они могут несколько дней охранять Черное море от российских морских дронов"", - заявил он.

Напомню, что в декабре 2023, российское ВПК представило ударно-морской БЭК ""Одуванчик""

Кадр - украинский пулеметный БЭК с крупнокалиберным 14,5 мм пулеметом, и корабельной РЛС, вблизи Керчи в декабре 2024."
2025-02-21T14:11:58+00:00,-1001290300939,"Кабинет Министров Украины дополнительно выделил $190 млн. на закупку дронов, – Шмыгаль.

Он также заявил, что в сегменте дронов, отечественная продукция составляет почти 100%."
2025-02-21T10:37:19+00:00,-1001290300939,"🇧🇪 Бельгия откладывает передачу Украине первой партии F-16 как минимум до конца 2025 года, – Генштаб Бельгии.

Причина: США задерживают поставки Бельгии F-35. Напомню, что Бельгия обещала поставить 30 бортов F-16."
2025-02-20T14:40:28+00:00,-1001290300939,"📊Вёрстка по данным российского Центризбиркома:
Число избирателей в оккупированных регионах Украины сократилось почти на 700 тыс.чел. за последние 6 месяцев.

🟢1 июля 2024 года - 4,4 млн 
🟢1 января 2025 года - 3,7 млн

Оккуп.Донецкая обл - 1,65 млн;
Оккуп.Луганская обл - 1,24 млн;
Оккуп.Запорожская обл - 446 тыс;
Оккуп.Херсонская обл - 381 тыс;
За Крым информации нет.

Око Гора ✙"
2025-02-20T10:46:35+00:00,-1001290300939,"🦉Я думаю, что в этом году мы прийдем к режиму прекращения огня, — Буданов."
2025-02-20T10:17:27+00:00,-1001290300939,"😈На 2025 год Минобороны Украины выделит $1,05 млрд на закупку FPV-дронов, в том числе на оптоволокне, – пресс-служба.

🗿🗿🗿"
