Date,Sender,Message
2025-02-24T05:01:55+00:00,-1001863854271,"Фронтовая сводка на 24 февраля:

В Курской области российские войска продолжают атаки с района н.п. Свердликово в направлении н.п. Лебедевка, на западной окраине которого дроноводы ВСУ нанесли огневое поражение пехотному подразделению противника. Добавлена серая зона. 

На Лиманском направлении противник продвинулся севернее н.п. Макеевка на участке шириной до 4.05 км на глубину до 550 метров и продолжает атаки в районе н.п. Ямполовка. 

На Покровском направлении идут бои в центральной и западной частях н.п. Андреевка, на восточной окраине н.п. Удачное и в районе н.п. Котлино. 
  
На Константинопольском направлении российские войска подтягивают резервы и продолжают атаки в направлении н.п. Константинополь и Разлив.

На Бурлацком направлении противник продвинулся в районе балок северо-западнее Великой Новосёлки и юго-западнее Новоочеретоватого на участке шириной 2.65 км на глубину до 1.4 км.

🔵Подписаться 
🟥YouTube
📍Карта"
2025-02-23T19:42:40+00:00,-1001863854271,"На Северском направлении противник продвинулся западнее н.п. Белогоровка на глубину до 2.25 км. Конфигурация фронта на уточнении.

🔵Подписаться 
🟥YouTube
📍Карта"
2025-02-22T13:46:21+00:00,-1001863854271,На Купянском направлении дроноводы ВСУ атаковали позицию российских войск на северном плацдарме на западном берегу реки Оскол в застройке в центральной части населённого пункта Тополи. Предварительно добавлена серая зона.
2025-02-22T08:17:24+00:00,-1001863854271,"Продовжуємо збір на два БПЛА Mavic 3 Pro для бійців 148-ої ОАБр ЗСУ на Покровський напрямок. Збір іде дуже повільно, навіть невеликий донат пришвидшує його!

Залишилось зібрати – 96 131 грн.


💸 МоноБанка

Номер картки банки – 4441 1111 2799 8015


🔵 Зв'язок – @Anton_Grad
✈️допомагайте репостом✈️"
2025-02-18T20:21:48+00:00,-1001863854271,"На Константинопольском и Бурлацком (ранее Великоновосёлковское) направлениях идут тяжелые бои в районе балки Скотоватая (северо-западнее Великой Новосёлки) в направлении н.п. Бурлацкое, в районе н.п. Новоочеретоватое, Константинополь и Улаклы. В районе последнего складывается очень сложная ситуация. Севернее идут тяжелые бои за н.п. Андреевка (Покровское направление), где противник подтягивает резервы для давления на оставшуюся часть населённого пункта и атак в направлении н.п. Срибное с целью закрытия образовавшегося «кармана».

🔵Подписаться"
2025-02-18T14:33:32+00:00,-1001863854271,"Итоги переговоров США и России в Эр-Рияде:

🗣Рубио заявил, что Трамп желает завершить войну в Украине справедливо и не допустить её возобновления через 2-3 года.

🗣Рубио заявил, что ЕС в какой-то момент должен оказаться за столом переговоров, так как вводил санкции против России.

🗣Лавров заявил, что Консультации России и США по Украине будут носить регулярный характер после того, как обе стороны назначат переговорные команды.

🗣Лавров заявил, что объяснил американской стороне, что появление войск НАТО в Украине неприемлемо.

🗣Рубио заявил, что Западу придется отменять санкции против России в случае урегулирования российско-украинской войны. 

🗣Лавров заявил, что Россия и США на переговорах занимались налаживанием отношений и «довольно небезуспешно».

🗣США предложили ввести мораторий на атаки на энергетические объекты Украины и России."
2025-02-17T20:05:00+00:00,-1001863854271,"Так называемый «антидроновый коридор» противника на Донбассе, о котором писал ранее."
2025-02-17T03:40:15+00:00,-1001863854271,"Президент США Дональд Трамп заявил, что готов разрешить Европе покупать оружие американского производства для передачи Украине, — Bloomberg

Администрация Трампа заявила западным союзникам, что хочет, чтобы они покупали американское оружие и военную технику для сохранения НАТО, а также чтобы Европа покупала больше американских энергоносителей."
2025-02-15T11:06:12+00:00,-1001863854271,"Короткий итог Мюнхенской конференции: 

Как и в 2022, 2023 и 2024 годах представители ЕС и НАТО обещают и дальше обещать очень мощно нам помогать.

Россия, как и в 2022, 2023, и 2024 годах, продолжит наступление. На весну у РФ запланирована весенняя кампания.

Большинство представителей ЕС и НАТО сошлись во мнение, что Украине нужны сильные переговорные позиции, о чем говорилось в 2022, 2023 и 2024 годах.

Украина не отказывается от вступление в НАТО."
2025-02-14T17:07:13+00:00,-1001863854271,"На Константинопольском направлении противник продвинулся в населённом пункте Дачное (отмечены 4 точки, где противник установил флаги) и продолжает атаковать пехотными подразделениями южнее населённого пункта в западном направлении. Вероятно противник продвинулся и в западной части, ожидаю информацию.

На Лиманском направлении дроноводы ВСУ нанесли огневое поражение российской пехоте в южной части н.п. Ямполовка. Добавлена серая зона, конфигурация фронта на уточнении.

🔵Подписаться 
🟥YouTube
📍Карта"
