Date,Sender,Message
2025-02-24T10:44:05+00:00,-1001308729127,"Тиск ворога в напрямку кордону Дніпропетровської області продовжується. 
Підари застосовують всю доступну техніку для штурмів, наразі це ЛАТ, але важка бронетехніка в тилу у них також є, чогось очікує. 
Зранку в напрямку Надеждинки хлопці розбили штурм пітухів на 2 корчах, зараз 300ті слізно просять евакуацію."
2025-02-23T20:32:12+00:00,-1001308729127,"Росіяни вдарили «калібрами» та «х-101» по газовидобувній станції в н.п Мирне Харківської області. 
Колись промахнуться і взірветься труба Північного потоку🤷‍♂️  або в Суджі десь неполадки стануться."
2025-02-23T17:08:00+00:00,-1001308729127,"Чергове відео розстрілу наших бійців росіянами. 
Це в цих гандонах цивілізований світ шукає друзів?"
2025-02-22T17:09:48+00:00,-1001308729127,"Посилений тиск росіян в напрямку Колодязі та Ямполівки змушує хлопців з 63 ОМБр цілодобово займатися їх знищенням. 
Зараз дуже не вистачає мавіків 3Т, тому прошу закинути донатик, купимо 3 штучки. 

🎯Ціль: 383 000.00 ₴

🔗p.s 20:03 Збір закрито🫡 Дякую! 

Нагадую що жодних сторонніх реквізитів ні я ні мої адміністратори не відправляють вам в особисті повідомлення! 
Криптогаманець знаходиться в розкладці каналу. 
Наші контакти для зв’язку незмінні:
@stanislavosman_bot
@stas_osman
і ніякі більше!

👉 Звіти по зборам 👈"
2025-02-22T15:06:47+00:00,-1001308729127,"Підпишіться на легенду, який був з нами під час боїв за Соледар та Бахмут, тримав нашу менталку в купі і продовжує робити це зараз."
2025-02-22T07:36:11+00:00,-1001308729127,"Друже у нас вже є система захищеного інтернет звʼязку, яким можна користуватися на фронті, підключати до нього різного типу дрони, навіть програмувати під мобільну станцію свої «голі» сім.

Просто всі довго чухаються і будуть думати за це, коли старлінк відригне."
2025-02-21T15:03:24+00:00,-1001308729127,"Раджу подивитися захоплюючу історію живої легенди та справжнього патріота України
Мухіна Олександра Васильовича - радянського і українського кінооператора,
художника, скульптора та письменника."
2025-02-21T06:35:58+00:00,-1001308729127,"В напрямку Успенівки, з ночі і до тепер, ворог штурмує наші позиції на різних типах транспорту, від мотоциклів до БМП, з залученням великої кількості пішоходів. 
Намагаються прорватися до кордону Дніпропетровської області."
2025-02-20T20:40:38+00:00,-1001308729127,"Допоможіть врятувати життя моїм побратимам з АЗОВу, ССО та ЗСУ і отримайте Maserati🫡🫶

Основна ціль - допомогти пацикам вижити, донатьте незалежно від того, чи є у вас 300 гривень, навіть 1 гривня допоможе закрити потребу. Слава Україні! 

Збираємо на FPV-дрони, РЕБи та техніку для АЗОВу, ССО та інших підроздлів Сил оборони. 

Донат 300 грн - один шанс виграти італійський спорткар
600 грн - два і так далі. 

Якщо донат не з моно - вкажіть прізвище, імʼя та номер телефону. 

🎯Ціль: 10 000 000.00 ₴

🔗Посилання на банку
https://send.monobank.ua/jar/9kbAMUM557

💳Номер картки банки
4441111121670339

PayPal: oksi.tuzyak@gmail.com

Обов’язково поширюйте збір в Instagram"
2025-02-20T18:50:56+00:00,-1001308729127,"Так було завжди. Поважають лише сміливих. Дослухаються тільки до впливових. І зважають
лише на сильних.

з 1991 року вороги України робили все, аби наша держава була слабкою, дезінтегрованою, беззубою та несамостійною. У 2013 році Україна почала прокидатися, нарощувати мʼязи, нарешті підходячи до розуміння необхідності утвердження власної субʼєктності. Наївно було б припускати, що народження цієї субʼєктності буде безболісним. І ще більшою помилкою було б вважати, що шлях до неї нам прокладуть за нас.

Одинадцять років ми напівзаходами ведемо війну з країною, яка переважає нас кількісно та ресурсно. І вже три роки Україна стримує повномасштабне вторгнення однієї із найбоєздатніших армій світу. Щоденний подвиг українських солдат має надихати нас, не давати впадати у відчай, хай там які заяви не робили б іноземні політики, аналітики та експерти. Останнє слово — за фронтом.

Так, нам і досі не все вдається, і попереду ми маємо багато роботи. Так, ми самі повірили пустим обіцянкам, віддавши ядерну зброю, критично послабивши обороноздатність країни.
Проте Україна вже зробила неможливе. Україна вже увійшла в історію завдяки своєму спротиву російській окупації, хоробрості та могутності свого війська, силі горизонтальних громадських звʼязків та вправності нашої дипломатії. З цього і постає сьогодні справжня українська субʼєктність. І саме це так дратує тих, кому сильна і самостійна Україна поперек
горла.

Все, що відбувається сьогодні в інформаційному просторі, не має збивати нас з одного разу обраного нами шляху. Так само, як і в жодному разі українцям не варто звертати свою увагу на тих персонажів, які радо розпочали підготовку до політичних ігрищ та примарних виборів. Вся увага — на фронт, всі сили - для фронту.

Безнадія починається там, де люди під тиском обставин відмовляються боротись за своє. Це не про нас. Тримаємо стрій, знищуємо окупантів!

- Командир бригади корпусу «Азов» 🌊
Денис Прокопенко"
