Date,Sender,Message
2025-02-24T19:20:21+00:00,-1001440814963,"Під час спеціальної зустрічі Ялтинської економічної стратегії (YES) в розмові з Александром Квасневським розповів про гібридні загрози, які росія несе для Європи, а також чому Україна має стати частиною Європейського Союзу.

російська агресія — це прояв ширшого геополітичного явища: кризи глобального світового порядку. кремль мислить не категоріями міжнародного права, а логікою «дозволено все, що не має негайного покарання».

Тому Україна має вистояти і стати частиною колективного Заходу, тим самим перезапустивши систему глобальної безпеки, яка вже не працює.

Україна — це безпека і захист для Європи. Збройні Сили України можуть стати основою єдиної європейської армії та альтернативою армії США, чиї військові контингенти нині дислокуються в ЄС.

Військова безпека — це лише один компонент, чому Україна важлива для Європи.
Україна — це 22 з 30 корисні копалини, які входять до переліку критичних для ЄС. Це другі на континенті запаси газу та найбільші газові сховища. Це ІТ-хаб і потенціал для ніаршорингу. 
Проєкт відбудови України може стати глобальним фактором зростання всієї європейської економіки та консолідації Європи.

Україна — це останній захисний бар’єр між Європою, Заходом і новою епохою хаосу. І тому стратегічний інтерес наших союзників, аби Україна вистояла."
2025-02-24T17:52:49+00:00,-1001440814963,"Сьогодні, тут, у Києві, ми повинні сказати прямо: безпека України — це безпека Європи. Тому інтеграція України в Європейський Союз має відбутися не колись, а зараз. Наголосив на цьому під час спільного засідання Уряду України та Європейської комісії.

Україна може стати стратегічною опорою ЄС у сфері оборони, енергетики та технологій. І тому сьогодні я звернувся до колегії єврокомісарів із закликами до дій, яких потребує Європа. 
📌 Інтеграція України до ЄС має прискоритися. Ми закликаємо переглянути наявні процедури та рухатися в переговорному треку за всіма кластерами.
📌 Ми закликаємо збільшити оборонне виробництво та пропонуємо інвестувати в український військово-промисловий комплекс, який зараз набирає надзвичайних обертів. Потрібно розширити так звану «данську модель», коли партнери інвестують в український ОПК. Потрібна інтеграція української оборонної промисловості в ланцюги постачання ЄС. Потрібно більше військової допомоги Україні.
📌 Ми пропонуємо прискорити інтеграцію України до Внутрішнього ринку ЄС. Нам всім потрібна подальша лібералізація торгівлі. Подальша інтеграції України в європейський транспортний простір. Ми пропонуємо також прискорити інтеграцію наших енергетичних ринків, а також закликаємо ЄС ухвалити рішення про створення європейського стратегічного резерву газу, використовуючи українські найбільші газосховища.
📌 Ключовим ресурсом для нашого відновлення мають стати заморожені російські активи. Настав час конфіскувати їх.

Ми безмежно вдячні Європейському Союзу за підтримку: фінанси, зброю, гуманітарну допомогу, санкції. Дякую Європейській комісії та особисто Урсулі фон дер Ляєн за стратегічне лідерство, за віру в Україну, за сміливі рішення, які дають надію."
2025-02-24T14:28:12+00:00,-1001440814963,"В України є ключ до енергетичної незалежності Європи, незалежності від критично важливої сировини та потенціал створення великого виробничого й логістичного центру для всього континенту. Наголосив на цьому під час саміту Support Ukraine.

Наша єдність — це запорука спільної безпеки й економічного розвитку. Своїм опором ми дали Європі час для того, щоб згуртуватися та діяти. Час для конкретних кроків заради убезпечення континенту від катастрофи. В жодному разі не можна змарнувати цей ресурс.

Тому на часі ухвалення консолідованих рішень для європейської безпеки. Україна вже робить все можливе, щоб захистити наш спільний дім. Ми будемо робити це і надалі.

Розраховуємо, що Європа та світ гідно дадуть відповідь на виклик часу. Відповість діями, лідерством та солідарністю.

Настав час сильної Європи, де сильна Україна займе своє повноправне місце."
2025-02-24T13:17:33+00:00,-1001440814963,"Урядовою командою взяли участь у засіданні Верховної Ради.

Разом із міжнародними партнерами, дипломатами й духовенством провели молитву за Україну та пригадали події в нашій державі за ці три роки повномасштабної війни. Було чимало успіхів і здобутків, які допомогли нам вистояти та рухатися вперед.

Український народ продемонстрував надзвичайний рівень єдності в боротьбі з російськими окупантами й продовжує демонструвати цю згуртованість щодня."
2025-02-24T09:55:45+00:00,-1001440814963,"Вшанували пам'ять героїв, які віддали життя за вільну, незалежну, демократичну Україну, разом із Президентом України Володимиром Зеленським, головою Верховної Ради Русланом Стефанчуком, урядовцями та військовими.

Наші міжнародні партнери в цей день також поруч з нами. У Києві.
Дякую за непохитну солідарність з Україною і за всю допомогу, надану під час повномасштабної війни.

Завдяки нашим захисникам і захисницям та завдяки підтримці наших союзників Україна продовжує боротися."
2025-02-24T09:07:35+00:00,-1001440814963,"🇪🇺 Дякую Раді ЄС за ухвалення 16-го пакета санкцій проти російського агресора.

Серед найважливішого: 
➡️ до санкційного списку додані понад 50 нових суб’єктів;
➡️ посилення боротьби з «тіньовим флотом» рф;
➡️ заборона мовлення пропагандистських медіа;
➡️ заборона експорту низки товарів подвійного призначення;
➡️ відключення від SWIFT ще 13-ти банків;
➡️ заборона на торгівлю з портами й аеропортами росії, які приймають дрони та ракети;
➡️ поповнення списку персональних санкцій та багато іншого.

Об’єднана Європа вкотре демонструє дієву солідарність з Україною. 

Цінуємо таку рішучу підтримку. Разом змусимо ворога дорого заплатити за свої злочини та наблизимо справедливий мир."
2025-02-24T07:07:36+00:00,-1001440814963,"Три роки стійкості. Три роки наполегливої праці. Три роки повномасштабної війни. 

За цей час українці довели усьому світу — наша перемога в людях, які наближають її щодня. Насамперед це — наші воїни. Саме вони — ті люди, які пишуть світову історію.

Безмежна вдячність усім нашим захисникам! Вдячні всім хто працює, рятує, лікує, навчає. Усім, хто наближає нашу перемогу та забезпечує надійний тил!

За ці три роки разом ми вистояли. Зміцнили нашу армію, економіку та міжнародну підтримку. Щодня рухаємося до наших цілей. Україні потрібен справедливий мир, міцні та непорушні гарантії безпеки. Щоб більше ніколи не почути зухвале: «Київ за три дні». У цьому ми єдині! Адже правда завжди перемагає!

Слава Україні!"
2025-02-23T13:21:10+00:00,-1001440814963,"Визначив п’ять ключових напрямів роботи, на яких Уряд зосереджений сьогодні. Розповів про них під час виступу на форумі «Україна. Рік 2025».

➡️ Зміцнення наших Сил безпеки й оборони. Кожну зібрану гривню в Україні спрямовуємо на ці потреби. Цього року в бюджеті передбачено 2,2 трлн грн. Це 26% нашого ВВП. Минулого року український ОПК зріс в 6 разів. Зараз Україна виробляє 30% від номенклатури потреб української армії. Наша мета — щонайменше половину від потреб в зброї мають закривати українські підприємства.
➡️ Ефективна соціальна політика. Уряд і держава виконують всі соціальні зобов’язання перед українським народом. За минулий рік було виплачено 730 млрд грн пенсій та ще 180 млрд грн інших соціальних платежів. Цього року продовжуємо всі виплати вчасно. 1 березня буде індексація пенсій. Працюємо над запровадженням підтримки родин з дітьми, базової соціальної допомоги та накопичувальної пенсії.
➡️ Відновлення. Насамперед швидке відновлення в умовах війни. Цього року пріоритет енергетика та житло людей.
➡️ Підтримка економіки й українського виробника. Тут маємо пільгове кредитування, компенсацію за українську техніку, програми грантів для відкриття бізнесу, «Національний кешбек», до якої доєдналися 5 млн людей та понад 2 тисячі виробників. 
➡️ Взаємодія з партнерами заради перемоги та стійкості. Цьогоріч маємо вже підтвердження про 38,4 млрд доларів бюджетної підтримки. Працюємо з МВФ та Єврокомісією, Світовим банком, ЄБРР, іншими фінансовими структурами.

Виклики четвертого року цієї повномасштабної війни величезні, але я впевнений, що разом ми їх подолаємо.
Дякую нашим захисникам і захисницям.
Разом вистоїмо, разом переможемо!"
2025-02-23T12:15:20+00:00,-1001440814963,НАЖИВО. Виступ на Форумі «Україна. Рік 2025».
2025-02-21T17:16:46+00:00,-1001440814963,"🇪🇺 Провели продуктивну телефонну розмову з Високою представницею ЄС, Віцепрезиденткою Єврокомісії Каєю Каллас.

Скоординували наші дії напередодні засідання Ради ЄС із закордонних справ, що відбудеться в Брюсселі. Очікуємо сильних рішень. 

Подякував пані Каллас за останні рішучі заяви на підтримку України. Підкреслив, що ефективні гарантії безпеки та підтримка нашої країни в поєднанні з максимальним тиском на росію є ключовими елементами для забезпечення справедливого миру.

У цьому контексті подякував за узгодження 16-го пакета санкцій на рівні послів країн ЄС. Розраховуємо, що обмеження будуть посилюватися і надалі.

Важливо продовжувати військову підтримку України та забезпечити безперебійне надходження техніки та зброї. Подякував за всю надану допомогу за ці три роки повномасштабної війни й наголосив на наших потребах: більше ППО, артилерії, бронетехніки.

Підкреслив, що Україна та Європа мають діяти спільно та єдиним фронтом, аби забезпечити тривалий мир на європейському континенті."
